issuer_name,deal_short_name,as_of_date,delinquency_60_plus,delinquency_90_plus,extensions_rate,cnl_rate,oc_current,oc_target,reserve_pct_original,reserve_pct_current
Octane,OCTL 2021-1,07/11/2025,0.012244,0.0044055,0.0072,0.0456605,0.3419,0.04,0.010000000002950083,0.0855
Octane,OCTL 2021-2,07/11/2025,0.0137018,0.0046413,0.0072,0.0579422,0.1664,0.03,0.010000000009705823,0.0555
Octane,OCTL 2022-1,07/11/2025,0.0123307,0.0053904,0.0071,0.0638528,0.1009,0.0275,0.010000000006567816,0.0372
Octane,OCTL 2022-2,07/11/2025,0.0100649,0.0043103,0.0061,0.0651752,0.1874,0.064,0.009999999995961599,0.0306
Octane,OCTL 2023-1,07/11/2025,0.0085522,0.0034043,0.0072,0.0546823,0.0801,0.035,0.009999999996160273,0.0238
Octane,OCTL 2023-2,07/11/2025,0.0097404,0.0038155,0.0064,0.0526596,0.0722,0.035,0.010000000011573053,0.0206
Octane,OCTL 2023-3,07/11/2025,0.0081885,0.0033929,0.006,0.0385889,0.0658,0.035,0.01000000000128946,0.0188
Octane,OCTL 2024-1,07/11/2025,0.006559,0.0026411,0.0036,0.0227473,0.0388,0.025,0.007499999997609293,0.0117
Octane,OCTL 2024-2,07/11/2025,0.0052607,0.0024008,0.0038,0.0153762,0.0685,0.0825,0.007500000001129446,0.0102
Octane,OCTL 2024-3,07/11/2025,0.0038577,0.0019416,0.0044,0.0073989,0.0584,0.129,0.004999999992795184,0.0061
Carvana,CRVNA 2020-P1,07/11/2025,0.0333248,0.0058625,0.0076186,0.0148757,0.1655,0.015,0.004999999998641975,0.0552
Carvana,CRVNA 2021-P1,07/11/2025,0.0298919,0.0041569,0.0088606,0.0143128,0.0927,0.011,0.0049999999828915665,0.0422
Carvana,CRVNA 2021-P2,07/11/2025,0.0325673,0.00449,0.0090371,0.0158612,0.088,0.014,0.004999999983935484,0.0314
Carvana,CRVNA 2021-P3,07/11/2025,0.0299583,0.004112,0.0101364,0.0210459,0.0172,0.0035,0.004999999997971015,0.0246
Carvana,CRVNA 2021-P4,07/11/2025,0.02754,0.0039637,0.0100264,0.021799,0.015,0.0035,0.004999999996255925,0.0215
Carvana,CRVNA 2022-P1,07/11/2025,0.0244978,0.0047522,0.0108684,0.0224684,0.0596,0.017,0.005999999706555475,0.021
Carvana,CRVNA 2022-P2,07/11/2025,0.0260841,0.0042706,0.0079862,0.0254093,0.044,0.0135,0.006499999999033058,0.0212
Carvana,CRVNA 2022-P3,07/11/2025,0.0233697,0.0044242,0.0109444,0.0268303,0.037,0.0135,0.004999999989423077,0.0137
Carvana,CRVNA 2023-P1,07/11/2025,0.0191481,0.0037824,0.0078421,0.023769,0.0311,0.0135,0.005000000010323527,0.0115
Carvana,CRVNA 2023-P2,07/11/2025,0.024023,0.004763,0.010921199999999999,0.0248209,0.0072,0.0035,0.0050000000090849196,0.0103
Carvana,CRVNA 2023-P3,07/11/2025,0.0203025,0.0044147,0.0095355,0.0233848,0.0064,0.0035,0.005000000011762097,0.0091
Carvana,CRVNA 2023-P4,07/11/2025,0.0174712,0.0046663,0.0091704,0.0167879,0.0063,0.0035,0.004999999987165019,0.009
Carvana,CRVNA 2023-P5,07/11/2025,0.0141491,0.0034032,0.008920299999999999,0.0112516,0.0058,0.0035,0.0049999999791052645,0.0082
Carvana,CRVNA 2024-P1,07/11/2025,0.0092637,0.0018111,0.0057242000000000005,0.007614,0.003,0.002,0.005000000006471091,0.0076
Carvana,CRVNA 2024-P2,07/11/2025,0.0068533,0.0014515,0.0070721000000000004,0.0049568,0.0029,0.002,0.004999999998718483,0.0073
